#Pos	Phred	A->A	A->C	A->G	A->T	A->N	C->A	C->C	C->G	C->T	C->N	G->A	G->C	G->G	G->T	G->N	T->A	T->C	T->G	T->T	T->N
23	12	15	2	1	1	0	2	4	1	1	0	5	1	3	1	0	2	1	2	20	0
23	13	5	2	1	3	0	1	6	1	2	0	1	1	4	4	0	2	1	1	27	0
23	14	8	1	6	2	0	6	8	1	3	0	2	1	12	3	0	3	1	1	20	0
23	15	121	3	7	6	0	6	44	4	11	0	9	3	69	23	0	4	3	5	356	0
23	16	414	7	22	11	0	8	251	5	10	0	14	5	364	14	0	8	8	17	629	0
23	17	169	7	4	9	0	8	121	2	9	0	3	1	104	19	0	4	2	2	739	0
23	18	1767	33	39	52	0	32	1185	13	45	0	48	16	983	53	0	36	50	39	2795	0
23	19	1327	25	30	36	0	15	659	10	31	0	34	14	540	27	0	40	43	19	1469	0
23	20	43	1	3	3	0	2	9	1	3	0	7	1	31	12	0	2	2	5	86	0
23	21	308	15	18	5	0	7	168	9	3	0	24	7	389	16	0	11	6	8	281	0
23	22	296	7	13	8	0	5	131	2	3	0	18	1	272	20	0	9	7	13	219	0
23	23	647	13	22	28	0	10	407	9	18	0	29	8	614	35	0	18	13	14	866	0
23	24	2876	37	43	54	0	31	1605	23	47	0	56	24	1663	60	0	73	46	33	2665	0
23	25	3529	46	83	94	0	40	2039	33	80	0	72	24	2403	91	0	81	58	46	5385	0
23	26	2584	29	54	30	0	28	1687	29	29	0	73	22	1804	35	0	51	39	27	1363	0
23	27	9262	106	143	223	0	113	5212	75	203	0	172	58	5683	248	0	196	127	116	13919	0
23	28	1023	17	36	21	0	20	642	10	15	0	35	12	749	12	0	28	16	18	361	0
23	29	6379	74	78	97	0	86	3198	45	66	0	112	54	3975	67	0	130	90	77	4788	0
23	30	8635	92	160	195	0	120	5459	89	179	0	182	69	5985	254	0	151	137	115	12802	0
23	31	14607	153	263	262	0	164	8167	117	231	0	305	111	9764	227	0	277	188	212	13321	0
23	32	17116	204	285	429	0	213	10055	134	325	0	305	119	11596	403	0	341	238	215	24919	0
23	33	21514	252	389	382	0	296	13319	217	339	0	414	212	15802	365	0	401	293	280	20843	0
23	34	36467	334	504	832	0	432	19918	270	662	0	635	252	23735	794	0	688	503	440	46638	0
23	35	26641	373	646	461	0	379	16855	386	477	0	609	335	23602	431	0	485	484	488	24422	0
23	36	66142	660	995	1087	0	790	37936	504	1010	0	1123	450	42571	939	0	1146	902	751	65129	0
23	37	53313	590	932	1277	0	617	32232	483	1089	0	980	436	40873	1303	0	949	710	791	77224	0
23	38	193305	2033	3005	2707	0	2328	113526	1477	2503	0	3432	1384	130201	2043	0	3382	2606	2388	156337	0
23	39	160791	1693	2655	3573	0	1762	100486	1251	3088	0	2721	1159	117808	3123	0	2893	2321	2061	217189	0
23	40	478750	5171	7155	7285	0	5592	292357	3695	6502	0	7971	3875	312703	5006	0	8500	6544	5417	408881	0
23	41	1240374	16368	18789	22453	0	14805	918305	9650	19017	0	17666	10030	841225	12691	0	21138	20462	14066	1232588	0
24	5	8	1	2	1	0	1	1	1	1	0	2	1	2	3	0	1	1	2	40	0
24	6	4	1	1	1	0	2	6	1	3	0	2	1	5	2	0	1	1	1	7	0
24	7	7	1	2	2	0	3	5	1	2	0	2	1	5	3	0	5	4	3	28	0
24	8	181	7	39	10	0	9	105	10	8	0	7	6	106	21	0	28	17	86	442	0
24	9	108	5	4	9	0	8	69	5	10	0	5	5	32	8	0	13	9	7	209	0
24	10	938	41	46	52	0	46	623	10	40	0	44	28	436	27	0	107	84	59	1341	0
24	11	300	10	5	15	0	15	143	4	18	0	9	6	100	11	0	18	14	3	621	0
24	12	20	2	1	1	0	1	8	2	1	0	5	1	6	2	0	3	3	1	23	0
24	13	4	1	1	5	0	3	8	1	2	0	1	1	3	3	0	2	2	2	27	0
24	14	11	1	6	4	0	2	3	3	2	0	2	2	10	4	0	1	2	1	21	0
24	15	147	1	7	8	0	3	55	4	7	0	13	4	70	24	0	2	5	4	493	0
24	16	450	6	25	13	0	9	261	11	9	0	11	7	387	22	0	7	5	10	719	0
24	17	254	4	5	16	0	7	123	2	11	0	7	3	147	21	0	7	3	2	945	0
24	18	1623	24	29	48	0	19	1078	16	31	0	43	21	997	52	0	36	45	17	2479	0
24	19	1350	15	35	38	0	13	645	6	25	0	35	14	506	27	0	59	30	6	1369	0
24	20	48	4	4	4	0	3	8	2	3	0	5	1	29	6	0	6	4	1	92	0
24	21	366	13	25	8	0	13	156	9	9	0	13	5	414	21	0	9	15	15	313	0
24	22	276	11	7	13	0	8	137	7	7	0	17	5	343	21	0	10	8	14	250	0
24	23	778	6	33	30	0	12	500	18	20	0	19	7	714	34	0	15	17	14	1178	0
24	24	3216	38	40	63	0	40	1795	34	61	0	63	26	1869	81	0	75	44	39	3158	0
24	25	3290	36	81	84	0	44	1924	35	77	0	73	26	2249	101	0	67	47	42	5316	0
24	26	2660	34	54	26	0	47	1790	22	40	0	59	21	1875	46	0	50	39	42	1450	0
24	27	9341	93	157	259	0	115	4991	73	188	0	178	62	5747	226	0	191	122	113	13788	0
24	28	972	24	35	22	0	28	648	9	17	0	42	12	848	15	0	35	23	22	391	0
24	29	6462	78	102	122	0	83	3271	33	104	0	130	37	3988	68	0	157	97	76	4850	0
24	30	9196	106	160	247	0	127	5735	69	238	0	180	65	6224	307	0	170	131	109	13730	0
24	31	14895	161	268	258	0	187	8348	115	254	0	307	112	10258	235	0	297	188	185	13638	0
24	32	17627	199	283	438	0	215	10113	145	380	0	341	119	11554	407	0	328	247	215	25106	0
24	33	22223	259	430	378	0	273	13569	221	361	0	445	207	16259	362	0	397	351	297	21297	0
24	34	37394	376	567	864	0	442	20728	269	732	0	660	256	24304	804	0	737	491	438	48314	0
24	35	27751	369	737	522	0	411	17909	413	490	0	599	339	24523	459	0	518	467	507	25732	0
24	36	67859	707	1050	1093	0	772	38463	474	968	0	1116	415	43694	943	0	1189	898	781	65902	0
24	37	55049	589	944	1373	0	615	32967	472	1222	0	962	431	41843	1329	0	1007	745	810	79191	0
24	38	197047	2104	3058	2961	0	2364	116431	1580	2696	0	3399	1465	133869	2152	0	3499	2724	2238	160671	0
24	39	164543	1706	2670	3725	0	1749	101782	1232	3067	0	2736	1230	120068	3107	0	3040	2400	2196	221644	0
24	40	488978	5339	7224	7518	0	5661	300341	3652	6652	0	7903	3837	320393	5014	0	8715	6992	5480	417067	0
24	41	1214933	15859	18278	21686	0	14474	904719	9105	18711	0	17371	9691	821472	12305	0	20577	20316	13746	1206198	0
25	5	6	1	1	1	0	1	1	1	2	0	1	1	1	3	0	2	1	6	30	0
25	6	6	2	3	1	0	1	1	3	2	0	1	2	4	3	0	1	2	5	16	0
25	7	11	1	2	2	0	2	6	1	1	0	2	1	5	1	0	3	5	8	30	0
25	8	223	17	26	11	0	19	151	5	16	0	7	4	164	19	0	23	36	81	541	0
25	9	155	12	10	10	0	14	115	4	6	0	7	3	69	14	0	12	6	5	317	0
25	10	1034	64	45	46	0	78	771	20	31	0	37	11	544	27	0	94	103	74	1520	0
25	11	330	11	5	21	0	23	140	6	18	0	14	2	82	18	0	30	6	2	695	0
25	12	21	1	1	1	0	2	2	1	3	0	4	3	8	2	0	2	2	2	36	0
25	13	12	2	1	3	0	1	3	1	5	0	2	2	5	7	0	3	1	1	29	0
25	14	11	4	5	3	0	1	7	2	2	0	1	1	8	5	0	1	1	2	33	0
25	15	155	5	5	8	0	3	58	2	6	0	8	2	85	36	0	4	3	4	495	0
25	16	429	10	22	11	0	13	293	9	12	0	16	6	393	26	0	10	13	12	823	0
25	17	267	2	2	22	0	7	194	4	18	0	6	3	177	16	0	14	9	4	1208	0
25	18	1643	33	34	45	0	30	1036	11	22	0	40	23	912	50	0	44	46	15	2357	0
25	19	1287	16	26	40	0	30	636	7	32	0	31	11	551	22	0	52	20	16	1564	0
25	20	51	4	4	6	0	4	8	3	3	0	7	4	33	7	0	1	2	3	86	0
25	21	337	4	19	5	0	12	180	8	8	0	18	15	437	15	0	7	10	15	347	0
25	22	311	10	15	12	0	8	164	7	13	0	18	7	322	15	0	8	8	10	291	0
25	23	850	17	25	30	0	15	538	12	16	0	23	12	761	43	0	21	24	17	1250	0
25	24	3460	34	50	64	0	41	1976	26	66	0	64	25	2004	62	0	75	54	47	3684	0
25	25	3119	44	61	93	0	52	1804	29	87	0	57	20	2099	122	0	57	45	39	5088	0
25	26	2680	34	79	37	0	39	1688	18	25	0	64	32	1874	38	0	41	34	31	1360	0
25	27	9185	91	128	243	0	109	5245	77	188	0	146	55	5469	212	0	204	148	101	13532	0
25	28	997	26	35	24	0	20	653	16	21	0	33	10	803	21	0	33	29	22	436	0
25	29	6595	65	101	94	0	66	3216	44	81	0	128	51	3919	72	0	123	75	81	4717	0
25	30	9398	127	150	294	0	120	6125	82	213	0	200	90	6941	350	0	171	139	128	14654	0
25	31	14696	172	255	262	0	192	8176	138	221	0	320	99	10012	201	0	300	220	180	13332	0
25	32	16997	165	262	445	0	211	9997	139	328	0	285	116	11266	405	0	310	252	222	24349	0
25	33	21960	261	403	382	0	283	13477	240	320	0	384	194	16322	324	0	410	329	320	21035	0
25	34	37431	402	553	851	0	447	20631	271	714	0	644	231	23569	790	0	752	450	431	48489	0
25	35	28159	418	755	523	0	370	18235	462	488	0	659	399	25093	463	0	522	494	522	26067	0
25	36	66876	652	984	1145	0	744	37949	477	1012	0	1140	477	42463	880	0	1142	894	780	65094	0
25	37	55743	609	953	1426	0	596	33428	435	1166	0	982	432	41646	1390	0	1005	757	817	82776	0
25	38	195276	2050	3086	2890	0	2217	115059	1500	2636	0	3325	1396	131868	2105	0	3359	2604	2298	160084	0
25	39	169989	1951	2750	3682	0	1846	105651	1332	3162	0	2881	1325	122716	3147	0	3008	2390	2239	227300	0
25	40	485123	5148	7140	7480	0	5809	292460	3658	6537	0	7685	3558	314446	4965	0	8534	6574	5241	411644	0
25	41	1212688	15868	18938	21950	0	14592	908781	9262	18620	0	17058	9807	833147	12056	0	20597	20261	14095	1201879	0
26	2	1	1	1	1	158	1	1	1	1	100	1	1	1	1	65	1	1	1	1	165
26	5	3	1	1	2	0	2	1	1	1	0	2	1	2	5	0	1	2	4	31	0
26	6	7	2	4	1	0	2	5	3	1	0	2	1	7	3	0	3	1	5	16	0
26	7	14	4	1	4	0	3	14	2	5	0	1	1	7	2	0	6	1	5	46	0
26	8	290	23	58	11	0	23	187	22	12	0	25	9	208	21	0	38	49	124	590	0
26	9	228	12	15	15	0	26	158	7	13	0	22	6	121	15	0	26	17	14	445	0
26	10	1242	89	87	55	0	115	885	51	32	0	58	37	609	48	0	128	94	142	1658	0
26	11	301	12	11	12	0	26	144	9	17	0	15	6	103	27	0	34	15	11	564	0
26	12	14	1	1	2	0	1	7	1	1	0	3	3	9	4	0	1	1	1	47	0
26	13	9	2	2	6	0	1	6	2	3	0	1	1	1	4	0	2	3	1	37	0
26	14	17	2	2	2	0	1	7	3	4	0	2	1	12	3	0	3	2	2	30	0
26	15	166	4	8	12	0	6	71	3	8	0	13	2	121	34	0	6	4	2	565	0
26	16	465	5	28	20	0	9	353	18	16	0	10	5	519	37	0	15	10	27	985	0
26	17	386	4	10	30	0	10	262	5	16	0	12	5	223	32	0	17	11	12	1486	0
26	18	1690	37	58	37	0	43	1161	24	43	0	43	20	1015	35	0	47	36	25	2095	0
26	19	1539	16	33	48	0	34	773	16	43	0	48	14	679	29	0	54	37	24	1628	0
26	20	61	3	3	3	0	2	14	3	4	0	7	1	38	18	0	3	1	1	112	0
26	21	414	10	22	11	0	7	190	13	8	0	26	9	483	21	0	10	7	15	334	0
26	22	322	9	13	8	0	10	164	6	14	0	16	4	367	12	0	10	6	14	298	0
26	23	904	17	35	31	0	22	623	17	28	0	28	16	866	50	0	25	13	17	1455	0
26	24	4192	56	55	107	0	66	2413	34	79	0	94	26	2424	86	0	86	61	57	4416	0
26	25	2916	34	62	82	0	43	1773	38	76	0	72	25	2165	115	0	60	62	50	5109	0
26	26	2731	32	65	29	0	44	1863	38	43	0	66	27	1876	41	0	58	46	39	1540	0
26	27	9808	115	148	255	0	121	5297	82	206	0	170	65	5929	229	0	199	160	136	14029	0
26	28	1117	22	39	30	0	24	739	9	24	0	31	7	919	25	0	42	22	29	440	0
26	29	6758	72	101	108	0	101	3395	59	99	0	121	45	4211	68	0	145	76	82	5091	0
26	30	10240	115	184	253	0	124	6582	87	250	0	185	89	7409	352	0	195	144	124	16429	0
26	31	15435	182	284	253	0	207	8636	135	245	0	294	113	10531	212	0	299	217	196	13924	0
26	32	17406	173	288	418	0	220	10036	146	346	0	292	111	11550	404	0	323	242	202	24633	0
26	33	22777	282	450	415	0	311	13832	219	375	0	440	193	17021	363	0	447	357	314	21953	0
26	34	38231	406	586	917	0	460	21029	279	707	0	724	276	24140	843	0	807	537	443	50312	0
26	35	29819	433	772	551	0	440	19300	452	539	0	684	373	26658	497	0	601	546	544	27521	0
26	36	68473	637	953	1181	0	769	38789	560	997	0	1155	478	43715	921	0	1273	926	706	67418	0
26	37	56659	609	969	1401	0	628	34251	477	1204	0	1011	476	41256	1352	0	1051	770	783	84801	0
26	38	201679	1979	3016	2905	0	2387	117632	1631	2720	0	3499	1447	135007	2267	0	3531	2601	2340	166626	0
26	39	170796	1749	2603	3793	0	1862	105690	1366	3225	0	2896	1288	119588	3309	0	3052	2461	2178	229661	0
26	40	499168	5139	7256	7494	0	5913	302354	3743	6845	0	7980	3886	323291	5201	0	8785	6748	5419	424832	0
26	41	1179492	15639	18645	20750	0	13979	894629	9164	18057	0	16479	9745	816978	12042	0	20005	19822	13594	1162086	0
27	2	1	1	1	1	372	1	1	1	1	254	1	1	1	1	233	1	1	1	1	432
27	5	4	1	1	1	0	1	1	1	1	0	2	1	4	3	0	1	1	4	35	0
27	6	4	1	1	1	0	1	7	1	3	0	1	1	7	4	0	1	3	4	23	0
27	7	25	2	3	4	0	1	13	2	2	0	2	1	12	4	0	5	3	10	45	0
27	8	309	26	32	26	0	18	208	10	5	0	15	6	172	28	0	37	38	105	580	0
27	9	256	5	9	14	0	26	198	5	16	0	6	5	122	13	0	23	16	15	539	0
27	10	1030	37	55	58	0	49	727	25	35	0	39	21	560	25	0	82	81	80	1599	0
27	11	201	8	2	17	0	17	114	2	9	0	12	4	75	10	0	16	11	3	392	0
27	12	19	1	2	3	0	2	8	1	3	0	3	2	10	3	0	3	1	2	44	0
27	13	8	1	2	3	0	2	5	1	5	0	1	2	5	2	0	3	1	1	41	0
27	14	18	3	7	3	0	1	8	2	1	0	1	3	10	3	0	2	1	3	37	0
27	15	197	5	5	11	0	4	98	4	15	0	12	2	131	31	0	3	5	7	525	0
27	16	580	9	30	16	0	11	375	4	23	0	16	4	500	28	0	16	13	17	1180	0
27	17	554	5	9	34	0	11	382	3	16	0	14	2	308	37	0	7	17	7	1649	0
27	18	1547	20	42	35	0	30	1035	13	34	0	32	21	886	45	0	47	37	18	1755	0
27	19	1434	11	27	33	0	16	669	11	25	0	31	8	643	24	0	52	28	17	1512	0
27	20	49	2	3	5	0	1	8	4	7	0	13	2	29	11	0	4	2	1	110	0
27	21	399	13	17	12	0	17	205	13	10	0	15	11	495	29	0	11	8	20	388	0
27	22	327	9	18	26	0	7	175	8	10	0	18	9	311	22	0	11	12	9	424	0
27	23	987	10	29	16	0	21	660	13	24	0	24	9	901	39	0	16	15	16	1294	0
27	24	4420	47	72	80	0	44	2573	35	96	0	95	43	2558	74	0	90	86	64	4913	0
27	25	2521	27	64	78	0	37	1593	34	83	0	63	20	1977	98	0	59	43	43	5002	0
27	26	2768	51	79	41	0	48	1888	24	32	0	66	25	1990	49	0	66	44	32	1498	0
27	27	9215	98	149	250	0	121	5330	67	191	0	179	63	5705	187	0	184	157	111	13178	0
27	28	1121	23	39	30	0	30	722	19	21	0	34	18	930	33	0	48	28	23	508	0
27	29	6684	66	91	127	0	92	3486	46	95	0	122	45	4194	74	0	167	89	81	4983	0
27	30	10658	124	187	291	0	139	7139	103	286	0	191	88	8045	346	0	208	159	139	17437	0
27	31	15370	170	265	285	0	188	8489	150	239	0	302	123	10308	228	0	282	212	209	13818	0
27	32	17289	207	303	416	0	226	9809	147	335	0	311	124	11192	356	0	346	251	171	22925	0
27	33	22748	285	455	429	0	297	14143	231	374	0	442	217	17336	346	0	406	389	332	22024	0
27	34	38394	415	593	951	0	454	21556	261	751	0	704	294	24581	807	0	758	497	473	49511	0
27	35	30299	473	860	586	0	417	20159	468	536	0	682	438	27689	558	0	609	559	607	28978	0
27	36	68228	650	949	1130	0	786	39276	532	1084	0	1185	454	43523	892	0	1218	892	763	66856	0
27	37	57848	665	977	1363	0	633	35802	526	1193	0	1040	477	43179	1394	0	1054	879	784	84256	0
27	38	203489	2065	3127	3091	0	2440	119837	1573	2757	0	3617	1513	136351	2374	0	3695	2811	2292	170366	0
27	39	169436	1894	2687	3878	0	1851	109195	1365	3152	0	2822	1315	121937	3318	0	3154	2533	2191	231307	0
27	40	510903	5429	7383	7815	0	6042	313514	3790	6838	0	8378	3898	329713	5292	0	8859	7014	5646	442451	0
27	41	1165637	15344	17992	21018	0	13926	873143	8880	17403	0	16483	9505	807435	11464	0	19912	19433	13505	1137715	0
28	5	4	1	1	1	0	1	2	2	1	0	1	1	7	3	0	1	1	5	35	0
28	6	9	2	1	1	0	1	4	3	1	0	3	3	10	2	0	1	3	6	30	0
28	7	31	4	3	4	0	1	10	2	5	0	4	2	13	3	0	7	2	11	54	0
28	8	344	14	84	19	0	11	241	49	15	0	12	8	204	27	0	39	41	138	654	0
28	9	351	10	36	25	0	17	255	14	16	0	14	6	177	35	0	22	15	30	659	0
28	10	1094	33	117	45	0	42	709	55	29	0	42	18	536	43	0	76	68	160	1516	0
28	11	163	5	12	10	0	10	92	3	10	0	11	3	62	11	0	14	7	7	299	0
28	12	24	1	1	1	0	1	3	3	4	0	3	2	11	4	0	1	1	2	35	0
28	13	16	2	1	7	0	2	6	1	3	0	3	2	8	4	0	1	1	1	35	0
28	14	14	3	6	2	0	1	7	3	1	0	5	4	10	4	0	2	2	1	46	0
28	15	244	2	8	15	0	5	109	5	16	0	12	5	133	29	0	8	7	23	547	0
28	16	602	11	23	21	0	10	447	15	20	0	15	7	577	28	0	9	13	30	1292	0
28	17	747	11	12	28	0	12	460	5	17	0	12	5	371	29	0	14	11	8	1836	0
28	18	1417	21	41	28	0	23	940	17	37	0	35	19	794	34	0	28	32	44	1365	0
28	19	1387	17	33	41	0	15	621	12	31	0	34	14	606	32	0	44	40	30	1458	0
28	20	58	1	6	3	0	2	16	1	9	0	7	1	42	12	0	5	3	6	125	0
28	21	415	12	26	8	0	6	208	14	8	0	16	11	487	18	0	10	8	21	357	0
28	22	318	7	14	15	0	12	156	9	13	0	17	5	347	31	0	19	9	22	439	0
28	23	963	14	30	23	0	14	637	19	29	0	37	13	909	44	0	20	17	27	1179	0
28	24	4615	62	54	102	0	61	2569	32	89	0	84	38	2604	101	0	106	72	84	5390	0
28	25	2297	19	50	67	0	17	1407	21	89	0	47	12	1941	99	0	41	43	45	4805	0
28	26	2650	45	57	43	0	42	1843	30	34	0	79	27	1918	34	0	64	39	54	1501	0
28	27	8877	92	149	221	0	117	4992	66	170	0	128	84	5417	187	0	170	148	111	12043	0
28	28	1104	33	39	40	0	23	730	16	21	0	39	15	887	25	0	48	25	29	499	0
28	29	6541	68	118	89	0	81	3332	45	91	0	140	66	3908	75	0	154	72	77	4916	0
28	30	10896	122	185	305	0	134	7173	110	269	0	222	90	8367	374	0	214	142	148	18385	0
28	31	15017	163	290	253	0	209	8340	132	258	0	292	121	10323	210	0	316	225	174	13815	0
28	32	16375	183	262	398	0	212	9495	126	318	0	300	118	10630	334	0	302	229	185	21028	0
28	33	22779	330	470	410	0	302	14171	228	345	0	435	229	17171	383	0	414	346	325	22436	0
28	34	38329	407	561	853	0	457	21410	276	700	0	724	277	24407	743	0	779	524	451	48006	0
28	35	31727	543	827	634	0	467	21136	544	575	0	742	469	28720	569	0	585	559	577	30913	0
28	36	67977	647	1042	1171	0	748	38455	511	1001	0	1190	467	43781	919	0	1232	867	763	66433	0
28	37	57804	667	1000	1442	0	647	35706	496	1135	0	1063	475	44220	1331	0	1067	828	858	83663	0
28	38	206161	2070	3227	3199	0	2519	121595	1547	2850	0	3547	1579	138228	2500	0	3611	2800	2358	176252	0
28	39	165940	1860	2804	3751	0	1823	109005	1269	3181	0	2861	1325	122956	3274	0	2956	2443	2245	227619	0
28	40	522835	5530	7572	8165	0	6056	323581	3905	7226	0	8195	3995	338093	5574	0	9064	6968	5688	460819	0
28	41	1157930	15048	18310	20351	0	13506	861076	8927	17371	0	16268	9229	796368	11399	0	19410	19293	13172	1118502	0
29	2	1	1	1	1	2	1	1	1	1	5	1	1	1	1	8	1	1	1	1	6
29	5	7	1	2	3	0	1	2	1	2	0	2	1	6	4	0	1	1	10	40	0
29	6	9	2	6	1	0	1	5	1	1	0	3	2	6	4	0	2	1	7	25	0
29	7	32	2	8	2	0	5	12	4	2	0	4	3	23	3	0	4	4	10	77	0
29	8	342	15	38	13	0	19	222	20	22	0	14	8	205	17	0	44	36	115	650	0
29	9	387	15	21	32	0	21	247	11	25	0	20	8	163	8	0	37	30	13	775	0
29	10	818	42	61	53	0	42	509	28	41	0	28	12	363	39	0	99	72	79	1223	0
29	11	112	2	4	7	0	6	46	2	7	0	4	3	15	5	0	6	6	6	158	0
29	12	24	2	2	3	0	3	4	2	2	0	2	1	6	4	0	2	1	5	110	0
29	13	20	2	2	5	0	4	9	1	1	0	3	2	13	6	0	4	2	2	49	0
29	14	19	3	5	1	0	1	6	2	3	0	5	5	17	1	0	2	1	1	47	0
29	15	253	6	14	9	0	6	108	6	9	0	11	2	120	27	0	8	8	7	604	0
29	16	591	6	52	27	0	8	391	18	23	0	16	12	440	32	0	11	18	31	1440	0
29	17	560	8	18	32	0	12	320	4	27	0	9	11	265	39	0	19	8	19	1484	0
29	18	1160	26	45	31	0	25	851	18	23	0	35	17	709	35	0	29	41	33	1021	0
29	19	1330	22	27	38	0	18	652	7	29	0	38	12	543	35	0	58	36	19	1374	0
29	20	44	3	3	6	0	2	20	2	5	0	14	4	56	6	0	3	1	1	147	0
29	21	464	13	22	8	0	11	207	9	16	0	24	9	494	23	0	12	8	15	445	0
29	22	330	3	14	17	0	6	171	10	17	0	18	9	377	26	0	16	5	15	574	0
29	23	1022	14	25	36	0	13	713	16	23	0	32	11	901	33	0	23	13	15	1294	0
29	24	4960	59	72	121	0	69	2607	30	103	0	81	36	2688	104	0	115	86	56	5682	0
29	25	2190	24	58	71	0	28	1346	21	80	0	42	19	1795	107	0	38	46	34	4968	0
29	26	2824	40	55	50	0	57	1767	39	43	0	68	26	1973	49	0	67	48	33	1752	0
29	27	8753	93	149	214	0	95	4784	67	178	0	165	41	5144	180	0	169	129	93	11364	0
29	28	1165	40	31	40	0	25	688	19	28	0	34	17	917	31	0	48	31	28	615	0
29	29	6758	81	124	109	0	79	3358	58	97	0	119	46	4079	90	0	165	82	83	5025	0
29	30	11539	125	202	303	0	143	7475	107	319	0	216	92	8597	403	0	219	176	162	19809	0
29	31	15315	178	305	290	0	204	8470	149	278	0	319	123	10378	236	0	303	228	207	13984	0
29	32	16036	182	273	337	0	189	8776	130	299	0	301	119	10501	312	0	311	210	198	19497	0
29	33	23585	289	484	432	0	287	14289	251	394	0	484	247	17544	423	0	434	376	341	22978	0
29	34	38215	360	614	882	0	484	21272	280	728	0	681	251	24068	790	0	733	512	472	47687	0
29	35	32943	534	905	636	0	478	21881	586	599	0	786	490	29961	594	0	629	602	659	32244	0
29	36	68622	684	1018	1168	0	825	38422	508	1071	0	1199	457	43443	985	0	1284	907	800	67107	0
29	37	58422	689	979	1445	0	678	36401	544	1243	0	1114	519	44130	1342	0	1056	890	867	83887	0
29	38	212644	2208	3265	3163	0	2526	123836	1684	2965	0	3605	1518	142158	2519	0	3741	2703	2355	182424	0
29	39	163105	1853	2696	3671	0	1804	107112	1278	3084	0	2687	1278	120439	3245	0	2845	2492	2216	220090	0
29	40	533016	5520	7875	8235	0	6274	331028	3942	7352	0	8359	3977	347274	5631	0	9135	7392	5782	473081	0
29	41	1141203	14954	17789	19875	0	13695	852973	8876	17249	0	16231	9249	791761	11107	0	18903	18724	12842	1098091	0
30	5	5	1	2	1	0	2	2	1	1	0	1	1	5	7	0	1	3	4	35	0
30	6	9	1	4	2	0	2	4	3	1	0	1	2	4	1	0	2	1	6	33	0
30	7	41	2	2	4	0	4	10	2	1	0	6	3	10	7	0	6	4	8	104	0
30	8	375	18	34	12	0	16	223	13	8	0	11	10	201	31	0	41	44	97	726	0
30	9	418	14	9	32	0	20	281	4	17	0	16	5	193	27	0	28	22	16	895	0
30	10	751	36	27	31	0	38	465	5	25	0	21	12	304	20	0	60	59	48	1083	0
30	11	44	1	1	7	0	2	29	2	4	0	2	1	10	2	0	3	2	1	77	0
30	12	33	2	3	4	0	1	11	3	2	0	3	3	6	6	0	4	1	3	145	0
30	13	11	3	2	6	0	4	11	2	2	0	3	1	8	3	0	5	2	1	62	0
30	14	16	1	6	3	0	1	15	1	2	0	2	1	22	4	0	4	1	2	45	0
30	15	256	5	7	15	0	5	107	4	11	0	10	1	167	31	0	3	8	6	685	0
30	16	599	12	24	30	0	11	429	9	20	0	12	7	451	35	0	10	21	14	1580	0
30	17	542	10	10	36	0	8	298	3	21	0	10	3	214	25	0	16	9	7	1428	0
30	18	1227	21	36	29	0	24	812	15	33	0	31	22	668	25	0	20	38	16	891	0
30	19	1339	25	20	46	0	21	684	10	31	0	24	9	525	15	0	45	35	15	1498	0
30	20	63	2	3	7	0	4	22	4	5	0	15	3	46	11	0	5	5	3	181	0
30	21	496	15	23	12	0	11	254	12	12	0	27	12	474	21	0	9	5	13	505	0
30	22	335	11	19	26	0	16	167	11	13	0	22	3	389	31	0	16	10	10	649	0
30	23	1102	24	26	46	0	22	697	21	28	0	35	18	898	56	0	23	16	19	1402	0
30	24	5146	53	60	123	0	55	2970	37	101	0	106	30	2728	102	0	135	97	56	6113	0
30	25	2029	17	41	73	0	20	1353	24	89	0	38	20	1896	139	0	38	29	38	5321	0
30	26	2895	40	75	62	0	42	1771	39	44	0	71	41	2032	46	0	84	55	42	1853	0
30	27	8366	90	124	213	0	103	4570	63	162	0	129	58	4992	133	0	179	132	92	11036	0
30	28	1256	29	45	43	0	28	841	24	26	0	38	15	1013	34	0	46	23	19	681	0
30	29	6894	66	95	110	0	93	3551	57	95	0	153	52	4221	60	0	139	98	104	5169	0
30	30	12056	133	211	368	0	142	7888	110	338	0	237	100	8748	430	0	226	170	132	22114	0
30	31	15684	163	278	315	0	214	8759	156	273	0	344	115	10667	259	0	315	222	229	14592	0
30	32	15164	159	275	355	0	192	8691	122	261	0	282	116	10018	323	0	325	220	184	18133	0
30	33	24208	303	475	412	0	325	14814	293	415	0	491	230	17948	384	0	423	356	292	23964	0
30	34	38579	400	582	870	0	474	21476	272	725	0	732	286	24149	819	0	790	514	479	48270	0
30	35	34505	576	985	681	0	567	23347	593	653	0	794	533	30862	623	0	698	659	689	34748	0
30	36	69141	713	1083	1262	0	780	38538	524	1065	0	1186	495	43549	915	0	1347	894	804	67878	0
30	37	58593	684	982	1384	0	692	37034	575	1247	0	1082	536	43764	1369	0	1125	860	799	84721	0
30	38	218908	2223	3367	3280	0	2616	128278	1709	3088	0	3742	1587	144027	2581	0	3824	2935	2497	189281	0
30	39	158769	1837	2566	3579	0	1759	104997	1260	3076	0	2748	1265	119374	2983	0	2959	2562	2124	215036	0
30	40	541889	5919	7828	8526	0	6245	337976	4001	7378	0	8616	4106	350613	5763	0	9222	7731	5903	480255	0
